idx,unique_carrier,yearmonth,total_departures_scheduled,total_departures_performed,agg_seat_count,total_passenger_count,total_miles_traveled,total_minutes_r2r,total_air_minutes,year,month,carrier_name,total_fuel_cost,full_date,month_stock_price_max,month_stock_price_min,month_stock_price_open,month_stock_price_close,month_stock_price_volume,adj_month_stock_price_close,stock_symbol
671,UA,2019-04,52292.0,51994.0,8659884.0,7379235.0,2681557.0,9542160.0,8151860.0,2019,4,United Air Lines Inc.,569304950.0,2019-04-01,90.16000366210938,79.55999755859375,80.20999908447266,88.86000061035156,61650400.0,88.86000061035156,UAL
672,WN,2010-01,90103.0,88476.0,12063552.0,8174598.0,1769318.0,9598476.0,8191330.0,2010,1,Southwest Airlines Co.,264484955.0,2010-01-01,11.970000267028807,10.90999984741211,11.399999618530273,11.329999923706055,203240500.0,10.586236953735352,LUV
673,WN,2010-02,82499.0,78735.0,10735425.0,7469981.0,1684422.0,8503874.0,7246772.0,2010,2,Southwest Airlines Co.,233029287.0,2010-02-01,12.729999542236328,11.020000457763672,11.369999885559082,12.579999923706055,201793800.0,11.754179000854492,LUV
674,WN,2010-03,95409.0,94804.0,12923918.0,9834590.0,1713663.0,10257904.0,8812308.0,2010,3,Southwest Airlines Co.,285526589.0,2010-03-01,13.420000076293945,12.5,12.59000015258789,13.220000267028807,200286300.0,12.352169036865234,LUV
675,WN,2010-04,94136.0,93741.0,12777612.0,9548508.0,1573763.0,10158615.0,8760237.0,2010,4,Southwest Airlines Co.,286864925.0,2010-04-01,13.970000267028807,13.079999923706055,13.369999885559082,13.18000030517578,221563100.0,12.3191556930542,LUV
676,WN,2010-05,97184.0,96769.0,13192883.0,9713268.0,1773385.0,10589726.0,9137187.0,2010,5,Southwest Airlines Co.,311639909.0,2010-05-01,13.449999809265135,11.359999656677244,13.31999969482422,12.4399995803833,215020300.0,11.627485275268555,LUV
677,WN,2010-06,96948.0,96761.0,13189597.0,10302824.0,1689714.0,10525384.0,9041023.0,2010,6,Southwest Airlines Co.,294844928.0,2010-06-01,12.770000457763672,11.0600004196167,12.300000190734865,11.109999656677246,169689500.0,10.384353637695312,LUV
678,WN,2010-07,98853.0,98668.0,13446821.0,10798184.0,1696906.0,10704173.0,9166159.0,2010,7,Southwest Airlines Co.,302869939.0,2010-07-01,12.390000343322756,10.420000076293944,11.050000190734863,12.050000190734865,160332400.0,11.267178535461426,LUV
679,WN,2010-08,97613.0,97392.0,13271469.0,10273291.0,1695844.0,10466721.0,8977793.0,2010,8,Southwest Airlines Co.,302773274.0,2010-08-01,12.31999969482422,10.760000228881836,12.140000343322756,11.050000190734863,108980500.0,10.332138061523438,LUV
680,WN,2010-09,91513.0,91183.0,12428891.0,8898848.0,1616105.0,9819004.0,8444890.0,2010,9,Southwest Airlines Co.,278859942.0,2010-09-01,14.15999984741211,11.170000076293944,11.199999809265137,13.06999969482422,147323900.0,12.225892066955565,LUV
