,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,unique_carrier_name,origin_airport_id,origin,dest_airport_id,dest,aircraft_type,year,quarter,month,seats_v1,passengers_v1,null_seats,null_seats_prop,day_per_departures_perf,distance_grouped,is_overbooked,distance_per_departures
71,1.0,0.0,0.0,0,0,0.0,0.0,2400.0,0.0,0.0,UA,United Air Lines Inc.,14492,RDU  ,14771,SFO  ,694,2014,1,1,0,0,0,0.0,0.0,0,0,0.0
72,1.0,0.0,0.0,0,0,0.0,0.0,2583.0,0.0,0.0,UA,United Air Lines Inc.,11697,FLL  ,14771,SFO  ,634,2014,2,5,0,0,0,0.0,0.0,0,0,0.0
73,1.0,0.0,0.0,0,0,0.0,0.0,488.0,0.0,0.0,DL,Delta Air Lines Inc.,11618,EWR  ,11433,DTW  ,819,2014,2,4,0,0,0,0.0,0.0,0,0,0.0
74,1.0,0.0,0.0,0,0,0.0,0.0,1124.0,0.0,0.0,DL,Delta Air Lines Inc.,13487,MSP  ,10721,BOS  ,622,2014,2,4,0,0,0,0.0,0.0,0,0,0.0
75,1.0,0.0,0.0,0,0,0.0,0.0,2136.0,0.0,0.0,UA,United Air Lines Inc.,14122,PIT  ,12892,LAX  ,614,2014,2,5,0,0,0,0.0,0.0,0,0,0.0
76,1.0,0.0,0.0,0,0,0.0,0.0,679.0,0.0,0.0,UA,United Air Lines Inc.,14771,SFO  ,14747,SEA  ,623,2014,2,5,0,0,0,0.0,0.0,0,0,0.0
77,1.0,0.0,0.0,0,0,0.0,0.0,1426.0,0.0,0.0,DL,Delta Air Lines Inc.,13487,MSP  ,14057,PDX  ,622,2014,2,5,0,0,0,0.0,0.0,0,0,0.0
78,1.0,0.0,0.0,0,0,0.0,0.0,1183.0,0.0,0.0,DL,Delta Air Lines Inc.,13495,MSY  ,12953,LGA  ,655,2014,3,7,0,0,0,0.0,0.0,0,0,0.0
79,2.0,0.0,0.0,0,0,0.0,0.0,1310.0,0.0,0.0,DL,Delta Air Lines Inc.,13204,MCO  ,13487,MSP  ,694,2014,3,9,0,0,0,0.0,0.0,0,0,0.0
80,2.0,0.0,0.0,0,0,0.0,0.0,2182.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,14747,SEA  ,694,2014,4,10,0,0,0,0.0,0.0,0,0,0.0
81,2.0,1.0,52560.0,180,180,0.0,827.0,484.0,88.0,67.0,DL,Delta Air Lines Inc.,15016,STL  ,10397,ATL  ,622,2014,1,3,180,180,0,0.0,0.03,3,0,484.0
82,4.0,0.0,0.0,0,0,0.0,0.0,743.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,11423,DSM  ,819,2014,4,10,0,0,0,0.0,0.0,0,0,0.0
83,4.0,0.0,0.0,0,0,0.0,0.0,577.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,10821,BWI  ,819,2014,2,4,0,0,0,0.0,0.0,0,0,0.0
84,6.0,0.0,0.0,0,0,0.0,0.0,1747.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,12889,LAS  ,694,2014,4,10,0,0,0,0.0,0.0,0,0,0.0
